                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.70786,                0.39971,                0.90044,                0.65134,                0.91642,                 0.8229,                0.61712,                 1.0026,                0.94104,                 1.0404,              0.0008615,              0.0008615,              0.0008615
                     72,                0.71975,                  0.411,                0.90662,                0.71965,                0.86866,                0.87288,                0.67381,                0.94011,                 0.9247,                 1.0255,               0.000845,               0.000845,               0.000845
                     73,                0.66883,                 0.3862,                0.88955,                 0.6874,                 0.8806,                0.88303,                0.70201,                 0.8751,                0.83039,                 1.0037,              0.0008285,              0.0008285,              0.0008285
                     74,                0.69301,                0.39436,                  0.911,                0.65641,                0.90448,                0.86686,                0.68463,                 0.8923,                0.85089,                 1.0091,               0.000812,               0.000812,               0.000812
                     75,                0.66597,                 0.3844,                0.89822,                0.64764,                0.87784,                0.86695,                0.65932,                0.95641,                0.91608,                 1.0336,              0.0007955,              0.0007955,              0.0007955
                     76,                0.69338,                0.38567,                0.90798,                  0.657,                0.88055,                0.85027,                0.64554,                0.95815,                0.92953,                 1.0206,               0.000779,               0.000779,               0.000779
                     77,                0.65236,                0.37422,                0.89308,                0.72403,                0.81791,                 0.8889,                 0.6889,                0.86538,                0.86803,                0.99301,              0.0007625,              0.0007625,              0.0007625
                     78,                0.67022,                0.38267,                0.88671,                0.80846,                0.80896,                0.89359,                0.69582,                0.88049,                0.86636,                 1.0179,               0.000746,               0.000746,               0.000746
                     79,                0.66938,                0.38028,                0.90053,                0.76121,                0.80896,                0.87932,                0.68397,                0.92151,                 0.8764,                 1.0506,              0.0007295,              0.0007295,              0.0007295
                     80,                0.65773,                0.37341,                0.88908,                0.64008,                0.90149,                0.85194,                 0.6658,                0.94491,                0.87644,                 1.0806,               0.000713,               0.000713,               0.000713
                     81,                 0.6575,                0.37567,                0.88592,                0.63931,                 0.8836,                 0.8344,                0.65819,                0.89926,                0.87776,                 1.0561,              0.0006965,              0.0006965,              0.0006965
                     82,                0.63694,                0.36799,                 0.8829,                0.65636,                0.87761,                0.82247,                0.65359,                0.89541,                0.87761,                  1.045,                0.00068,                0.00068,                0.00068
                     83,                0.63446,                0.36451,                0.88337,                 0.6508,                0.89552,                0.82905,                0.65551,                0.86753,                0.84433,                 1.0205,              0.0006635,              0.0006635,              0.0006635
                     84,                0.63885,                0.36758,                0.88468,                0.65073,                 0.8806,                 0.8278,                0.66741,                0.85106,                0.84318,                 1.0213,               0.000647,               0.000647,               0.000647
                     85,                0.61012,                0.35256,                0.88495,                0.64733,                0.86572,                0.83425,                0.66867,                0.86098,                0.82685,                 1.0284,              0.0006305,              0.0006305,              0.0006305
                     86,                0.63943,                0.36964,                 0.8876,                0.66263,                0.88358,                0.85188,                0.68024,                0.84449,                0.86137,                 1.0151,               0.000614,               0.000614,               0.000614
                     87,                0.64171,                0.36988,                0.88428,                0.64727,                0.95224,                 0.8902,                0.70732,                0.87846,                0.86253,                 1.0216,              0.0005975,              0.0005975,              0.0005975
                     88,                0.66222,                0.36947,                 0.8973,                0.74418,                0.83364,                0.88864,                0.70962,                0.85656,                0.88568,                 1.0241,               0.000581,               0.000581,               0.000581
                     89,                0.62702,                0.36013,                0.88737,                0.78269,                0.79701,                0.89752,                0.70978,                0.89413,                0.88409,                 1.0252,              0.0005645,              0.0005645,              0.0005645
                     90,                0.63107,                0.35819,                0.87586,                0.77175,                0.78727,                0.89277,                0.71702,                0.84266,                0.86459,                 1.0083,               0.000548,               0.000548,               0.000548
                     91,                0.62908,                0.35658,                0.88322,                0.74272,                 0.8014,                0.88574,                0.70909,                0.85694,                0.86221,                 1.0076,              0.0005315,              0.0005315,              0.0005315
                     92,                0.64126,                0.35437,                0.88277,                0.67605,                0.82854,                0.86721,                0.69615,                 0.8474,                0.86923,                0.99706,               0.000515,               0.000515,               0.000515
                     93,                0.60511,                0.34932,                0.87573,                0.69695,                0.84478,                0.87171,                0.69692,                0.84283,                0.86809,                0.99179,              0.0004985,              0.0004985,              0.0004985
                     94,                0.63321,                0.35277,                0.88344,                0.65569,                0.88358,                 0.8584,                0.69506,                0.81761,                0.85743,                0.97899,               0.000482,               0.000482,               0.000482
                     95,                0.59523,                0.34518,                0.87351,                 0.6579,                0.88358,                0.84701,                0.69143,                0.81501,                0.88414,                0.97631,              0.0004655,              0.0004655,              0.0004655
                     96,                0.59628,                0.34616,                0.88326,                0.64802,                0.86866,                0.84395,                0.68329,                0.83276,                0.89084,                 0.9915,               0.000449,               0.000449,               0.000449
                     97,                0.61058,                0.35173,                0.86978,                0.62384,                0.91343,                0.83844,                0.67318,                0.84444,                0.90417,                 1.0042,              0.0004325,              0.0004325,              0.0004325
                     98,                0.59983,                0.34533,                0.87394,                 0.6236,                0.91045,                0.84163,                0.68598,                0.83423,                0.89427,                 1.0155,               0.000416,               0.000416,               0.000416
                     99,                0.55874,                0.33513,                0.87298,                 0.6671,                0.85075,                 0.8492,                 0.6984,                 0.8344,                0.87568,                 1.0232,              0.0003995,              0.0003995,              0.0003995
                    100,                0.58859,                 0.3327,                0.87829,                0.65193,                0.86866,                0.84464,                0.69311,                0.82858,                 0.8763,                 1.0118,               0.000383,               0.000383,               0.000383
                    101,                0.57668,                 0.3338,                 0.8809,                0.64797,                0.87911,                0.84126,                0.68892,                0.81471,                0.88865,                0.98868,              0.0003665,              0.0003665,              0.0003665
                    102,                0.57411,                0.33106,                0.87256,                0.64553,                0.88608,                 0.8454,                0.69114,                0.80929,                0.85993,                0.98104,                0.00035,                0.00035,                0.00035
                    103,                0.57098,                0.32954,                0.86449,                0.64487,                0.88955,                 0.8562,                0.69977,                0.82452,                0.83887,                0.98484,              0.0003335,              0.0003335,              0.0003335
                    104,                0.57248,                0.33108,                0.87395,                0.64744,                 0.8806,                0.85999,                0.69376,                0.84745,                0.82604,                 1.0026,               0.000317,               0.000317,               0.000317
