                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.72264,                 0.4299,                0.90174,                0.64432,                0.91642,                0.86265,                0.65233,                0.97455,                0.97253,                 1.0397,              0.0005975,              0.0005975,              0.0005975
                     88,                0.73396,                0.42851,                0.91145,                0.63327,                0.91642,                0.86113,                0.64792,                0.98525,                0.97702,                 1.0434,               0.000581,               0.000581,               0.000581
                     89,                0.69863,                0.41751,                0.90557,                0.63247,                0.91438,                0.86827,                0.64952,                0.96238,                0.96623,                 1.0517,              0.0005645,              0.0005645,              0.0005645
                     90,                0.68932,                0.41385,                0.89109,                0.63276,                 0.9194,                0.86479,                0.64515,                0.96254,                 1.0147,                 1.0553,               0.000548,               0.000548,               0.000548
                     91,                0.69664,                0.41253,                0.89561,                0.63125,                0.92494,                0.87469,                0.64369,                0.95351,                 1.0192,                 1.0539,              0.0005315,              0.0005315,              0.0005315
                     92,                 0.7067,                 0.4116,                0.89803,                0.76551,                0.77015,                0.88102,                0.64036,                0.98641,                 1.0007,                 1.0615,               0.000515,               0.000515,               0.000515
                     93,                0.67389,                0.41194,                0.88673,                0.67348,                0.82388,                0.87488,                0.65842,                0.94273,                0.96081,                 1.0425,              0.0004985,              0.0004985,              0.0004985
                     94,                0.70201,                0.42071,                0.89857,                0.69829,                 0.8209,                0.87897,                 0.6617,                0.96108,                0.91024,                 1.0507,               0.000482,               0.000482,               0.000482
                     95,                0.67225,                0.41047,                0.89095,                0.65035,                0.89254,                0.86905,                0.66016,                 0.9779,                0.91444,                 1.0622,              0.0004655,              0.0004655,              0.0004655
                     96,                0.68178,                0.41712,                0.90185,                0.71213,                0.77538,                 0.8659,                0.65937,                0.97646,                0.96128,                 1.0592,               0.000449,               0.000449,               0.000449
                     97,                0.67964,                0.40458,                0.88145,                0.65099,                0.91315,                0.86942,                0.67028,                0.94849,                0.96714,                 1.0523,              0.0004325,              0.0004325,              0.0004325
                     98,                0.67772,                0.40161,                0.88892,                0.64891,                0.90484,                0.85674,                0.65163,                0.95619,                0.96901,                 1.0578,               0.000416,               0.000416,               0.000416
                     99,                0.62914,                0.38593,                0.88547,                0.68378,                0.85373,                0.85949,                0.65469,                0.97387,                0.92718,                 1.0672,              0.0003995,              0.0003995,              0.0003995
                    100,                0.65651,                0.39026,                 0.8905,                0.69523,                0.82394,                 0.8589,                 0.6509,                0.95856,                0.93304,                 1.0559,               0.000383,               0.000383,               0.000383
                    101,                0.65436,                0.39165,                0.89153,                0.69958,                0.81194,                0.85018,                0.64605,                 0.9438,                0.96546,                  1.045,              0.0003665,              0.0003665,              0.0003665
                    102,                0.65367,                0.38598,                 0.8849,                0.73704,                0.78209,                0.85327,                0.64182,                0.95668,                0.95574,                 1.0522,                0.00035,                0.00035,                0.00035
                    103,                0.64299,                0.38433,                0.87859,                0.62408,                0.91679,                0.84602,                0.63094,                0.99449,                0.96516,                 1.0745,              0.0003335,              0.0003335,              0.0003335
                    104,                  0.658,                0.39183,                0.89369,                0.62364,                0.91642,                0.83351,                 0.6194,                 1.0305,                0.97354,                 1.0868,               0.000317,               0.000317,               0.000317
                    105,                0.68476,                0.39748,                 0.8896,                0.65777,                0.87463,                0.84826,                0.62217,                 1.0386,                0.98657,                 1.0928,              0.0003005,              0.0003005,              0.0003005
                    106,                0.67091,                0.39623,                0.87779,                0.66734,                0.88358,                0.86722,                0.61774,                  1.071,                 1.0043,                 1.1083,               0.000284,               0.000284,               0.000284
                    107,                0.61642,                0.37495,                0.86952,                0.67073,                0.88778,                0.86996,                0.62736,                 1.0493,                      1,                 1.1001,              0.0002675,              0.0002675,              0.0002675
                    108,                0.61602,                0.36505,                0.87665,                0.64126,                 0.9403,                0.87255,                0.64285,                 1.0105,                  0.987,                 1.0724,               0.000251,               0.000251,               0.000251
                    109,                0.65335,                0.39156,                0.88231,                0.67678,                 0.8597,                0.86951,                0.64956,                  1.003,                0.97768,                 1.0718,              0.0002345,              0.0002345,              0.0002345
                    110,                0.60778,                0.37514,                0.86584,                0.64189,                0.92031,                 0.8733,                0.65465,                 1.0093,                0.98673,                 1.0808,               0.000218,               0.000218,               0.000218
                    111,                0.61719,                0.37056,                0.85776,                0.74321,                0.78621,                0.87475,                0.64884,                 1.0097,                0.99966,                 1.0838,              0.0002015,              0.0002015,              0.0002015
                    112,                0.58914,                0.35438,                0.85553,                0.81682,                0.74538,                0.87107,                0.63886,                 1.0382,                0.96142,                 1.1089,               0.000185,               0.000185,               0.000185
                    113,                0.58391,                0.34694,                0.85609,                0.84355,                0.74036,                 0.8725,                 0.6357,                 1.0333,                0.93168,                 1.1141,              0.0001685,              0.0001685,              0.0001685
                    114,                0.57969,                0.34549,                0.85294,                0.77753,                0.76119,                0.86989,                0.62833,                 1.0364,                0.96503,                 1.1114,               0.000152,               0.000152,               0.000152
                    115,                 0.5772,                0.34748,                0.85555,                0.74777,                0.76991,                0.86501,                0.62383,                  1.016,                0.99335,                 1.0904,              0.0001355,              0.0001355,              0.0001355
                    116,                0.58819,                 0.3463,                0.86025,                0.72123,                0.78507,                0.85495,                0.62869,                0.97095,                0.98853,                 1.0571,               0.000119,               0.000119,               0.000119
                    117,                0.57198,                0.34513,                 0.8504,                0.66307,                0.82245,                0.85138,                0.62882,                0.97407,                0.96622,                 1.0592,              0.0001025,              0.0001025,              0.0001025
                    118,                0.56868,                0.34094,                0.84679,                0.64567,                0.87164,                0.85149,                0.62781,                0.97763,                0.95446,                 1.0655,                8.6e-05,                8.6e-05,                8.6e-05
                    119,                0.57353,                0.34802,                0.83964,                0.72559,                0.77313,                0.85168,                0.63072,                0.97695,                0.96562,                  1.067,               6.95e-05,               6.95e-05,               6.95e-05
                    120,                0.56919,                0.33992,                0.84492,                0.72531,                0.80397,                0.85384,                0.63208,                0.97447,                0.97864,                 1.0666,                5.3e-05,                5.3e-05,                5.3e-05
